Vulnerability,Example
Uninitialized Storage,"contract Unset { uint public count; function increment() public { count++; }}"
Uninitialized Storage,"contract NoDefault { uint public total; function add(uint x) public { total += x; }}"
Uninitialized Storage,"contract Blank { uint public max; function raise(uint x) public { max = x; }}"
Uninitialized Storage,"contract Empty { uint public sum; function increase(uint x) public { sum += x; }}"
Uninitialized Storage,"contract Unassigned { uint public limit; function set(uint x) public { limit = x; }}"
Uninitialized Storage,"contract DefaultRisk { uint public cap; function update(uint x) public { cap = x; }}"
Uninitialized Storage,"contract NotSet { uint public amount; function adjust(uint x) public { amount = x; }}"
Uninitialized Storage,"contract Zero { uint public value; function assign(uint x) public { value = x; }}"
Access Control,"contract Admin { address public owner; function withdrawAll() public { payable(owner).transfer(address(this).balance); }}"
Access Control,"contract NoRestrict { function shutdown() public { selfdestruct(payable(msg.sender)); }}"
Access Control,"contract Open { function mint(uint amount) public { totalSupply += amount; }}"
Access Control,"contract Unprotected { address public admin; function changeAdmin(address newAdmin) public { admin = newAdmin; }}"
Access Control,"contract FreeForAll { function kill() public { selfdestruct(payable(msg.sender)); }}"
Access Control,"contract NoAuth { function updateCode(address newCode) public { // No permission check }}"
Access Control,"contract PublicBurn { function burn(uint amount) public { balance[msg.sender] -= amount; }}"
Access Control,"contract NoOwner { function transferFunds(address to, uint amount) public { payable(to).transfer(amount); }}"
Access Control,"contract Unauthorized { function setRate(uint newRate) public { rate = newRate; }}"
Access Control,"contract NoModifier { function freeze() public { locked = true; }}"
Arbitrary Jump,"contract JumpRisk { function execute(bytes memory code) public { assembly { jump(add(code, 0x20)) }}}"
Arbitrary Jump,"contract DynamicJump { function run(bytes memory bytecode) public { assembly { jump(bytecode) }}}"
Arbitrary Jump,"contract UnsafeAssembly { function jumpTo(address a) public { assembly { jump(a) }}}"
Arbitrary Jump,"contract CustomJump { function arbitrary(bytes memory target) public { assembly { jump(target) }}}"
Arbitrary Jump,"contract HackJump { function exploit(bytes memory code) public { assembly { jump(add(code, 32)) }}}"
Arbitrary Jump,"contract CodeJump { function execute(bytes memory data) public { assembly { jump(data) }}}"
Arbitrary Jump,"contract WildJump { function unsafe(bytes memory dest) public { assembly { jump(dest) }}}"
Arbitrary Jump,"contract RiskyJump { function go(bytes memory location) public { assembly { jump(location) }}}"
Arbitrary Jump,"contract UncheckedJump { function jumpAnywhere(bytes memory target) public { assembly { jump(target) }}}"
Arbitrary Jump,"contract AssemblyRisk { function runCode(bytes memory code) public { assembly { jump(add(code, 0x20)) }}}"
